"split","aAcc","fAcc","qAcc"
"Overall","58.99053627760252","26.878612716763005","29.230769230769234"
"VD","55.32994923857868","28.695652173913043","21.660649819494584"
"VS","65.0","23.275862068965516","41.01123595505618"
"VD_illusion","61.80555555555556","35.483870967741936","29.166666666666668"
"VS_map","62.5","22.727272727272727","25.0"
"VD_ocr","71.91011235955057","46.51162790697674","44.18604651162791"
"VS_ocr","55.55555555555556","26.923076923076923","14.814814814814813"
"VD_video","50.0","14.583333333333334","8.695652173913043"
"VS_chart","69.23076923076923","27.500000000000004","57.89473684210527"
"VS_table","66.07142857142857","14.285714285714285","39.53488372093023"
"VD_figure","60.0","39.02439024390244","23.076923076923077"
"VD_math","37.96296296296296","2.7777777777777777","9.25925925925926"
