"split","aAcc","fAcc","qAcc"
"Overall","59.726603575184015","34.68208092485549","32.527472527472526"
"VD","56.683587140439926","34.78260869565217","27.075812274368232"
"VS","64.72222222222223","34.48275862068966","41.01123595505618"
"VD_math","47.22222222222222","16.666666666666664","24.074074074074073"
"VD_ocr","77.52808988764045","60.46511627906976","55.81395348837209"
"VD_video","45.88235294117647","8.333333333333332","8.695652173913043"
"VS_chart","60.76923076923077","27.500000000000004","46.05263157894737"
"VS_table","78.57142857142857","46.42857142857143","60.46511627906976"
"VS_ocr","59.25925925925925","34.61538461538461","25.925925925925924"
"VD_figure","72.5","58.536585365853654","46.15384615384615"
"VD_illusion","54.861111111111114","32.25806451612903","19.444444444444446"
"VS_map","53.125","31.818181818181817","15.625"
