"split","aAcc","fAcc","qAcc"
"Overall","61.09358569926393","38.15028901734104","36.92307692307693"
"VD","54.145516074450086","34.34782608695652","25.27075812274368"
"VS","72.5","45.689655172413794","55.0561797752809"
"VS_map","62.5","31.818181818181817","28.125"
"VS_ocr","74.07407407407408","61.53846153846154","51.85185185185185"
"VS_table","78.57142857142857","46.42857142857143","65.11627906976744"
"VD_math","63.888888888888886","33.33333333333333","37.03703703703704"
"VS_chart","71.53846153846153","42.5","61.8421052631579"
"VD_illusion","53.47222222222222","40.32258064516129","16.666666666666664"
"VD_ocr","77.52808988764045","60.46511627906976","58.139534883720934"
"VD_video","36.470588235294116","4.166666666666666","5.797101449275362"
"VD_figure","53.75","34.146341463414636","23.076923076923077"
