"split","aAcc","fAcc","qAcc"
"Overall","56.782334384858046","29.76878612716763","30.76923076923077"
"VS","60.83333333333333","29.310344827586203","42.69662921348314"
"VD","54.314720812182735","30.0","23.104693140794225"
"VS_chart","65.38461538461539","37.5","57.89473684210527"
"VD_math","43.51851851851852","8.333333333333332","14.814814814814813"
"VS_map","59.375","22.727272727272727","21.875"
"VS_table","64.28571428571429","28.57142857142857","41.86046511627907"
"VD_figure","62.5","41.46341463414634","35.8974358974359"
"VS_ocr","44.44444444444444","23.076923076923077","25.925925925925924"
"VD_illusion","59.72222222222222","37.096774193548384","25.0"
"VD_video","45.88235294117647","12.5","7.246376811594203"
"VD_ocr","67.41573033707866","46.51162790697674","44.18604651162791"
