"split","aAcc","fAcc","qAcc"
"Overall","60.56782334384858","30.63583815028902","32.30769230769231"
"VD","61.25211505922166","33.47826086956522","31.40794223826715"
"VS","59.44444444444444","25.0","33.70786516853933"
"VD_figure","68.75","48.78048780487805","38.46153846153847"
"VS_chart","51.53846153846153","22.5","38.15789473684211"
"VS_ocr","59.25925925925925","34.61538461538461","22.22222222222222"
"VD_illusion","61.80555555555556","27.419354838709676","26.38888888888889"
"VS_map","57.8125","9.090909090909092","21.875"
"VD_ocr","78.65168539325843","62.7906976744186","58.139534883720934"
"VS_table","69.64285714285714","32.142857142857146","41.86046511627907"
"VD_math","68.51851851851852","27.77777777777778","42.592592592592595"
"VD_video","43.529411764705884","6.25","7.246376811594203"
