"split","aAcc","fAcc","qAcc"
"Overall","68.34910620399579","38.4393063583815","43.956043956043956"
"VS","72.5","35.3448275862069","54.49438202247191"
"VD","65.82064297800339","40.0","37.18411552346571"
"VS_chart","79.23076923076923","40.0","69.73684210526315"
"VD_ocr","83.14606741573034","69.76744186046511","67.44186046511628"
"VD_video","56.470588235294116","16.666666666666664","15.942028985507244"
"VS_table","71.42857142857143","28.57142857142857","58.139534883720934"
"VS_map","70.3125","36.36363636363637","40.625"
"VD_figure","73.75","51.21951219512195","48.717948717948715"
"VD_illusion","66.66666666666666","40.32258064516129","37.5"
"VD_math","59.25925925925925","22.22222222222222","31.48148148148148"
"VS_ocr","61.111111111111114","34.61538461538461","22.22222222222222"
