"split","aAcc","fAcc","qAcc"
"Overall","39.22187171398528","16.184971098265898","13.626373626373626"
"VD","44.16243654822335","20.434782608695652","16.60649819494585"
"VS","31.11111111111111","7.758620689655173","8.98876404494382"
"VD_math","51.85185185185185","16.666666666666664","31.48148148148148"
"VD_video","31.176470588235293","2.083333333333333","4.3478260869565215"
"VD_ocr","50.56179775280899","25.581395348837212","20.930232558139537"
"VS_chart","21.53846153846154","10.0","13.157894736842104"
"VD_illusion","40.97222222222222","27.419354838709676","6.944444444444445"
"VS_map","40.625","9.090909090909092","3.125"
"VS_ocr","16.666666666666664","7.6923076923076925","3.7037037037037033"
"VS_table","43.75","3.571428571428571","9.30232558139535"
"VD_figure","60.0","29.268292682926827","30.76923076923077"
